 5.75439937e+01 -1.23977564e+02  5.75439937e+01 -5.34936439e+01 
 5.88843655e+01 -1.23847300e+02  5.88843655e+01 -5.41223381e+01 
 6.02559586e+01 -1.23714959e+02  6.02559586e+01 -5.47465173e+01 
 6.16595002e+01 -1.23580572e+02  6.16595002e+01 -5.53659191e+01 
 6.30957344e+01 -1.23444168e+02  6.30957344e+01 -5.59802594e+01 
 6.45654229e+01 -1.23305787e+02  6.45654229e+01 -5.65893668e+01 
 6.60693448e+01 -1.23165460e+02  6.60693448e+01 -5.71929798e+01 
 6.76082975e+01 -1.23023223e+02  6.76082975e+01 -5.77908820e+01 
 6.91830971e+01 -1.22879113e+02  6.91830971e+01 -5.83828701e+01 
 7.07945784e+01 -1.22733167e+02  7.07945784e+01 -5.89687518e+01 
 7.24435960e+01 -1.22585424e+02  7.24435960e+01 -5.95483479e+01 
 7.41310241e+01 -1.22435923e+02  7.41310241e+01 -6.01214903e+01 
 7.58577575e+01 -1.22284704e+02  7.58577575e+01 -6.06880250e+01 
 7.76247117e+01 -1.22131806e+02  7.76247117e+01 -6.12478094e+01 
 7.94328235e+01 -1.21977270e+02  7.94328235e+01 -6.18007124e+01 
 8.12830516e+01 -1.21821137e+02  8.12830516e+01 -6.23466151e+01 
 8.31763771e+01 -1.21663448e+02  8.31763771e+01 -6.28854110e+01 
 8.51138038e+01 -1.21504242e+02  8.51138038e+01 -6.34170038e+01 
 8.70963590e+01 -1.21343562e+02  8.70963590e+01 -6.39413093e+01 
 8.91250938e+01 -1.21181447e+02  8.91250938e+01 -6.44582549e+01 
 9.12010839e+01 -1.21017938e+02  9.12010839e+01 -6.49677776e+01 
 9.33254301e+01 -1.20853075e+02  9.33254301e+01 -6.54698252e+01 
 9.54992586e+01 -1.20686898e+02  9.54992586e+01 -6.59643548e+01 
 9.77237221e+01 -1.20519447e+02  9.77237221e+01 -6.64513349e+01 
 1.00000000e+02 -1.20350760e+02  1.00000000e+02 -6.69307410e+01 
 1.02329299e+02 -1.20180877e+02  1.02329299e+02 -6.74025600e+01 
 1.04712855e+02 -1.20009834e+02  1.04712855e+02 -6.78667855e+01 
 1.07151931e+02 -1.19837669e+02  1.07151931e+02 -6.83234195e+01 
 1.09647820e+02 -1.19664419e+02  1.09647820e+02 -6.87724723e+01 
 1.12201845e+02 -1.19490119e+02  1.12201845e+02 -6.92139616e+01 
 1.14815362e+02 -1.19314806e+02  1.14815362e+02 -6.96479108e+01 
 1.17489755e+02 -1.19138514e+02  1.17489755e+02 -7.00743516e+01 
 1.20226443e+02 -1.18961275e+02  1.20226443e+02 -7.04933206e+01 
 1.23026877e+02 -1.18783125e+02  1.23026877e+02 -7.09048611e+01 
 1.25892541e+02 -1.18604094e+02  1.25892541e+02 -7.13090212e+01 
 1.28824955e+02 -1.18424214e+02  1.28824955e+02 -7.17058544e+01 
 1.31825674e+02 -1.18243516e+02  1.31825674e+02 -7.20954181e+01 
 1.34896288e+02 -1.18062030e+02  1.34896288e+02 -7.24777757e+01 
 1.38038426e+02 -1.17879785e+02  1.38038426e+02 -7.28529929e+01 
 1.41253754e+02 -1.17696808e+02  1.41253754e+02 -7.32211404e+01 
 1.44543977e+02 -1.17513128e+02  1.44543977e+02 -7.35822915e+01 
 1.47910839e+02 -1.17328771e+02  1.47910839e+02 -7.39365224e+01 
 1.51356125e+02 -1.17143762e+02  1.51356125e+02 -7.42839138e+01 
 1.54881662e+02 -1.16958127e+02  1.54881662e+02 -7.46245461e+01 
 1.58489319e+02 -1.16771891e+02  1.58489319e+02 -7.49585050e+01 
 1.62181010e+02 -1.16585075e+02  1.62181010e+02 -7.52858760e+01 
 1.65958691e+02 -1.16397704e+02  1.65958691e+02 -7.56067470e+01 
 1.69824365e+02 -1.16209799e+02  1.69824365e+02 -7.59212079e+01 
 1.73780083e+02 -1.16021380e+02  1.73780083e+02 -7.62293498e+01 
 1.77827941e+02 -1.15832470e+02  1.77827941e+02 -7.65312646e+01 
